,Ticker,Basic EPS,date
0,SHIIY,"['-', '19.20', '6.00', '20.50', '49.30']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
1,NPNYY,"['-', '398.25', '54.97', '12.29', '-17.59']","['ttm', '3/31/2022', '3/31/2021', '3/31/2020', '3/31/2019']"
2,SLHGF,"['-', '-0.36', '-0.43', '-0.71', '-0.02']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
3,OTGLY,"['-', '0.52', '2.99', '0.46', '0.28']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
4,FNHC,"['-', '-6.18', '-5.27', '0.08', '1.17']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
5,RVIC,"['-', '-0.84', '-4.72', '2.46', '0.00']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
6,TRIRF,"['-', '0.44', '0.74', '0.16', '-0.02']","['ttm', '2/28/2022', '2/28/2021', '2/29/2020', '2/28/2019']"
7,FSNUY,"['-', '0.81', '0.76', '0.84', '0.91']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
8,TKAMY,"['-', '-0.18', '15.40', '-0.49']","['ttm', '9/30/2021', '9/30/2020', '9/30/2019']"
9,TLSNY,"['-', '5.72', '-11.20', '3.40', '1.48']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
10,BRCNF,"['-', '-0.09', '-0.01', '-0.06', '-0.07']","['ttm', '3/31/2022', '3/31/2021', '3/31/2020', '3/31/2019']"
11,WIZEY,"['-', '0.03', '0.03', '0.02', '0.01']","['ttm', '3/31/2022', '3/31/2021', '3/31/2020', '3/31/2019']"
12,WEIDY,"['-', '-', '-50.55', '18.00', '54.65']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
13,ZVOI,"['-', '-1.27', '-1.53', '-1.86', '0.17']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
14,ZMENY,"['-', '-', '-99.07', '-102.09']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
15,CTKYY,"['-', '-', '-13.00', '-6.50', '1.95']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
16,CXDC,"['-', '-', '0.05', '1.03']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
17,DIDIY,"['-', '-', '-2.57', '-21.21', '-3.76']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
18,CKHUY,"['-', '8.70', '7.56', '10.33', '10.11']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
19,ACHHY,"['-', '7.15', '0.70', '0.93', '0.93']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
20,ADXS,"['-', '-11.20', '-34.40', '-87.20']","['ttm', '10/31/2021', '10/31/2020', '10/31/2019']"
21,AFIIQ,"['-', '-', '-2.90', '-2.42', '-6.27']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
22,CRXTQ,"['-', '-5.72', '-0.48']","['ttm', '12/31/2021', '12/31/2020']"
23,AXAS,"['-', '-5.30', '-22.01', '-7.80', '7.00']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
24,GAMI,"['-', '2.79', '2.21', '2.99', '4.08']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
25,ALFIQ,"['-', '-1.63', '-0.30', '-0.14']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
26,ALJJ,"['-', '-0.11', '-1.60', '-0.41']","['ttm', '9/30/2021', '9/30/2020', '9/30/2019']"
27,ALNAQ,"['-', '-0.72', '-1.01', '-2.13', '-1.72']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
28,BDRL,"['-', '0.01', '-0.76', '-0.08', '-0.15']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
29,FSRDQ,"['-', '-0.93', '-0.30', '-0.25']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
30,EMWPF,"['-', '-77.92', '-119.90']","['ttm', '3/31/2020', '3/31/2019']"
31,ESYJY,"['-', '-0.22', '-1.59', '-2.65', '0.89']","['ttm', '9/30/2022', '9/30/2021', '9/30/2020', '9/30/2019']"
32,EVFM,"['-', '-23.70', '-31.80', '-29.85', '-86.10']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
33,MOHOY,"['-', '-1.40', '-0.40', '0.04', '-0.64']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
34,NHYDY,"['-', '5.93', '0.90', '-0.88', '2.08']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
35,NTPIF,"['-', '0.39', '-0.35', '-0.35']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
36,GNCA,"['-', '-0.48', '-0.98', '-1.89', '-2.72']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
37,GPLDF,"['-', '-1.20', '0.01', '-3.30', '-0.60']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
38,QNGY,"['-', '-', '-8.59', '-10.17']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
39,SFUNY,"['-', '-', '-0.90', '-13.10']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
40,STWRY,"['-', '0.28', '0.32', '0.52', '0.56']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
41,HYSNY,"['-', '2.66', '-4.88', '9.26', '11.53']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
42,IFMK,"['-', '-0.45', '-0.79']","['ttm', '3/31/2020', '3/31/2019']"
43,CRRCF,"['-', '0.35']","['ttm', '12/31/2021']"
44,CRTD,"['-', '-2.98', '-5.68', '-2.94', '-6.58']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
45,CTTAY,"['-', '0.73', '-0.48', '-0.61', '1.45']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
46,JPPYY,"['-', '-8.08', '-0.94', '-4.90', '-11.60']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
47,LTGHY,"['-', '-', '4.82', '-0.26', '7.06']","['ttm', '9/30/2022', '9/30/2021', '9/30/2020', '9/30/2019']"
48,JTKWY,"['-', '-1.12', '-0.21', '-0.40', '-0.06']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
49,GTTNQ,"['-', '-1.88', '-4.80']","['ttm', '12/31/2019', '12/31/2018']"
50,KIII,"['-', '0.10']","['ttm', '12/31/2021']"
51,KLDO,"['-', '-', '-2.44', '-3.36', '-2.71']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
52,HELFY,"['-', '0.37', '0.55', '-0.01', '-0.13']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
53,BTLCY,"['-', '1.03', '-1.11', '-1.10', '-0.30']","['ttm', '3/31/2022', '3/31/2021', '3/31/2020', '3/31/2019']"
54,EDNMY,"['-', '0.63', '0.48', '0.65', '0.54']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
55,OIBZQ,"['-', '-8.85', '-7.55', '50.81']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
56,LMPX,"['-', '-0.49', '-0.24', '-0.78']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
57,PHASQ,"['-', '-2.98', '-3.39', '-1.43', '-4.49']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
58,PHCF,"['-', '-2.46', '-2.10', '-1.38']","['ttm', '6/30/2021', '6/30/2020', '6/30/2019']"
59,ENDPQ,"['-', '-2.63', '0.80', '-1.87', '-4.61']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
60,ENJYQ,"['-', '-4.65', '-7.40']","['ttm', '12/31/2021', '12/31/2020']"
61,EQOSQ,"['-', '-', '-4.78', '-1.82', '0.53']","['ttm', '3/31/2022', '3/31/2021', '3/31/2020', '3/31/2019']"
62,NBEVQ,"['-', '-0.41', '-1.16', '-0.26']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
63,GENN,"['-', '-', '0.14', '-2.33']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
64,ODTC,"['-', '-3.84', '-4.05', '-3.64']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
65,NEWYY,"['-', '-3.60', '-60.60', '-115.60']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
66,MDLM,"['-', '-', '-6.00', '-6.50']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
